postcode,ladcd,inferred_postcode_dist_m,price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
SW5 0DE,E09000020,21.04018232465388,1100.0,1,2,room,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
W8 7DT,E09000020,15.317557461010553,13867.0,2,2,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,,79.339162
SW7 5BD,E09000020,26.959162474718056,3250.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
SW7 5BD,E09000020,26.959162474718056,4250.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,71.53531
SW5 0DE,E09000020,21.04018232465388,1582.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,31.865729
SW5 0DE,E09000020,21.04018232465388,1625.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
SW7 5BD,E09000020,26.959162474718056,11917.0,2,2,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
SW7 5BD,E09000020,26.959162474718056,10833.0,4,3,house,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,False,0.185806
SW5 0DE,E09000020,21.04018232465388,1712.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,1730.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,27.963803
SW5 0DE,E09000020,21.04018232465388,1733.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,
W14 8SB,E09000013,41.325366750603976,1798.0,1,1,flat,51.49543283129771,-0.2111805167938931,2025-11-24,2025-12-24,True,
W8 7DT,E09000020,15.317557461010553,8017.0,3,2,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,False,0.092903
SW5 0DE,E09000020,21.04018232465388,1799.0,1,1,flat,51.48966819650067,-0.18958200269179,2025-11-24,2025-12-24,True,16.072219
SW7 5BD,E09000020,26.959162474718056,1820.0,1,1,flat,51.49650520565371,-0.1765137879858657,2025-11-24,2025-12-24,True,
W8 7DT,E09000020,15.317557461010553,1820.0,1,1,flat,51.50041303916273,-0.1954236630654962,2025-11-24,2025-12-24,True,
