name,lat,lon,railway,station,public_transport,network,line
Stratford,51.541289,-0.0035472,station,light_rail;subway,station,National Rail;London Underground;London Overground;Docklands Light Railway;Elizabeth line,Central;Jubilee
Southwark,51.503925,-0.1049663,station,subway,station,Elizabeth line,Jubilee
Edgware,51.6136623,-0.2749555,station,subway,station,London Underground,Northern
Kentish Town,51.5501727,-0.1388654,station,subway,station,National Rail;London Underground,Northern
Warwick Avenue,51.5229834,-0.1833083,station,subway,station,London Underground,Bakerloo
Tottenham Court Road,51.5159715,-0.1305125,station,subway,station,London Underground,Northern;Central
Bounds Green,51.607376,-0.1249047,station,subway,station,London Underground,Piccadilly
Hammersmith,51.494109,-0.2250607,station,subway,station,London Underground,Circle;Hammersmith & City
St. Paul's,51.5149144,-0.0975883,station,subway,station,London Underground,Central
Hampstead,51.5565973,-0.1784251,station,subway,station,London Underground,Northern
Belsize Park,51.5503088,-0.1646146,station,subway,station,London Underground,Northern
Holloway Road,51.5528674,-0.1130095,station,subway,station,London Underground,Piccadilly
Swiss Cottage,51.543722,-0.174982,station,subway,station,London Underground,Jubilee
Park Royal,51.5264341,-0.2839348,station,subway,station,London Underground,Piccadilly
Wood Lane,51.5101068,-0.2237557,station,subway,station,London Underground,Hammersmith & City;Circle
Turnpike Lane,51.5901482,-0.1027442,station,subway,station,London Underground,Piccadilly
Morden,51.4027615,-0.1947552,station,subway,station,London Underground,Northern
Canning Town,51.5139887,0.0082987,station,light_rail;subway,station,London Underground;Docklands Light Railway,Jubilee
Ealing Broadway,51.5149803,-0.3004067,station,subway,station,National Rail;London Underground;Elizabeth line,Central;District
Russell Square,51.5230529,-0.1242529,station,subway,station,London Underground,Piccadilly
Caledonian Road,51.548482,-0.1183585,station,subway,station,London Underground,Piccadilly
Totteridge & Whetstone,51.6307163,-0.1791837,station,subway,station,London Underground,Northern
Chalk Farm,51.5441141,-0.1534811,station,subway,station,London Underground,Northern
Oxford Circus,51.5154418,-0.1419563,station,subway,station,London Underground,Central;Bakerloo;Victoria
North Greenwich,51.500574,0.0043201,station,subway,station,London Underground,Jubilee
Canada Water,51.4979299,-0.0498405,station,subway,station,London Underground;London Overground,Jubilee
Moorgate,51.5182516,-0.0890625,station,subway,station,National Rail;London Underground,Metropolitan;Northern;Circle;Hammersmith & City
Kensington (Olympia),51.497437,-0.2094954,station,subway,station,National Rail;London Underground;London Overground,District
South Ruislip,51.5569909,-0.3990635,station,subway,station,National Rail;London Underground,Central
North Acton,51.5235769,-0.2597818,station,subway,station,London Underground,Central
Hammersmith,51.4921398,-0.2233005,station,subway,station,London Underground,Piccadilly;District
Tower Hill,51.5098481,-0.0766986,station,subway,station,London Underground,District;Circle
Colindale,51.5954091,-0.2499296,station,subway,station,London Underground,Northern
Golders Green,51.5723003,-0.194027,station,subway,station,London Underground,Northern
Ruislip,51.5714026,-0.4213375,station,subway,station,London Underground,Metropolitan;Piccadilly
Rayners Lane,51.5752109,-0.3714658,station,subway,station,London Underground,Metropolitan;Piccadilly
Neasden,51.5543358,-0.250749,station,subway,station,London Underground,Jubilee
Hatton Cross,51.4665357,-0.4239942,station,subway,station,Elizabeth line,Piccadilly
Osterley,51.4815507,-0.3518348,station,subway,station,London Underground,Piccadilly
Stamford Brook,51.4949692,-0.2458881,station,subway,station,London Underground,District
Turnham Green,51.4951314,-0.2546948,station,subway,station,London Underground,District;Piccadilly
Chiswick Park,51.4945622,-0.2678739,station,subway,station,London Underground,District
Earl's Court,51.4916123,-0.193903,station,subway,station,London Underground,District;Piccadilly
Becontree,51.5403111,0.1265241,station,subway,station,London Underground,District
Ruislip Manor,51.5733973,-0.4117997,station,subway,station,London Underground,Metropolitan;Piccadilly
Northolt,51.5484582,-0.3695247,station,subway,station,London Underground,Central
Perivale,51.5364952,-0.3225887,station,subway,station,London Underground,Central
Theydon Bois,51.6717759,0.1033213,station,subway,station,London Underground,Central
Loughton,51.6412266,0.0553234,station,subway,station,London Underground,Central
Woodford,51.6068074,0.0340219,station,subway,station,London Underground,Central
Hanger Lane,51.5303098,-0.2936453,station,subway,station,London Underground,Central
Upminster Bridge,51.5582655,0.2347689,station,subway,station,London Underground,District
Hornchurch,51.5538747,0.2181092,station,subway,station,London Underground,District
Dagenham East,51.544018,0.1649496,station,subway,station,London Underground,District
Dagenham Heathway,51.5415534,0.1456377,station,subway,station,London Underground,District
Stanmore,51.6188526,-0.3026271,station,subway,station,London Underground,Jubilee
Canons Park,51.6080065,-0.2947453,station,subway,station,London Underground,Jubilee
Elm Park,51.549579,0.1974303,station,subway,station,London Underground,District
Leyton,51.5568183,-0.0051322,station,subway,station,London Underground,Central
East Putney,51.4586138,-0.2112429,station,subway,station,London Underground,District
Temple,51.5109659,-0.1143345,station,subway,station,London Underground,District;Circle
Walthamstow Central,51.582893,-0.0199941,station,subway,station,London Underground;London Overground,Victoria
Alperton,51.5408036,-0.3000963,station,subway,station,London Underground,Piccadilly
Covent Garden,51.5130942,-0.1242695,station,subway,station,London Underground,Piccadilly
St. John's Wood,51.5353523,-0.1742097,station,subway,station,London Underground,Jubilee
East Ham,51.5394005,0.0526042,station,subway,station,London Underground,District;Hammersmith & City
Bromley-by-Bow,51.5246287,-0.0123189,station,subway,station,London Underground,District;Hammersmith & City
Canary Wharf,51.5035036,-0.0186272,station,subway,station,London Underground,Jubilee
Kensal Green,51.5306063,-0.2244449,station,subway,station,National Rail;London Underground;London Overground,Bakerloo
Harlesden,51.5363567,-0.257833,station,subway,station,London Underground;London Overground,Bakerloo
West Hampstead,51.5468194,-0.1899646,station,subway,station,London Underground,Jubilee
Bermondsey,51.4977004,-0.0643453,station,subway,station,London Underground,Jubilee
Green Park,51.5066192,-0.1429113,station,subway,station,Elizabeth line,Piccadilly;Victoria;Jubilee
Uxbridge,51.546655,-0.4775114,station,subway,station,London Underground,Metropolitan;Piccadilly
Hillingdon,51.5536028,-0.4504637,station,subway,station,London Underground,Metropolitan;Piccadilly
Goldhawk Road,51.5017564,-0.2265662,station,subway,station,London Underground,Circle;Hammersmith & City
Shepherd's Bush,51.5043576,-0.2183251,station,subway,station,London Underground,Central
