price_pcm,bedrooms,bathrooms,property_type,lat,lon,first_seen,last_seen,furnished,floor_area_sqm
1900.0,2,1,flat,51.61537022152886,-0.17849520592823712,2025-11-24,2025-12-24,True,
2920.0,1,1,flat,51.51627434550282,-0.060362238632592095,2025-11-24,2025-12-24,True,
4199.0,2,2,flat,51.49319411793612,-0.14769490171990174,2025-11-24,2025-12-24,False,80.918513
2600.0,2,2,flat,51.52005626602283,-0.22397761896400353,2025-11-24,2025-12-24,False,
1495.0,2,1,house,51.660791777777774,-0.18092166666666668,2025-11-24,2025-12-24,True,
1782.0,1,1,flat,51.54034522700729,-0.3441954109489051,2025-11-24,2025-12-24,True,54.441158
3250.0,3,3,flat,51.48607040751445,-0.3079527880539499,2025-11-24,2025-12-24,False,
1950.0,1,1,flat,51.55257703591954,-0.17320251077586207,2025-11-24,2025-12-24,True,
1695.0,2,1,flat,51.54437024442897,-0.3745926552924791,2025-11-24,2025-12-24,False,
1750.0,1,1,flat,51.407064950272485,-0.2976385081743869,2025-11-24,2025-12-24,False,54.069546
3235.0,1,1,flat,51.476676133597884,-0.13268082076719578,2025-11-24,2025-12-24,True,63.824360999999996
5499.0,2,2,flat,51.523131379234975,-0.08796123825136612,2025-11-24,2025-12-24,True,
2317.0,2,2,flat,51.54034522700729,-0.3441954109489051,2025-11-24,2025-12-24,False,85.099148
875.0,1,1,flat,51.55854584270242,-0.2899978896338319,2025-11-24,2025-12-24,True,
3399.0,2,2,flat,51.476676133597884,-0.13268082076719578,2025-11-24,2025-12-24,True,89.744298
1900.0,2,1,flat,51.621021391705064,-0.10373107949308756,2025-11-24,2025-12-24,False,
3300.0,2,2,flat,51.51627434550282,-0.060362238632592095,2025-11-24,2025-12-24,True,
2300.0,1,1,flat,51.53231740171674,-0.14278790672389127,2025-11-24,2025-12-24,True,
9512.0,2,2,flat,51.49746417278618,-0.1534199384449244,2025-11-24,2025-12-24,True,
3445.0,1,1,flat,51.487943556899396,-0.16460576745464542,2025-11-24,2025-12-24,,
1925.0,2,2,flat,51.539223795265904,-0.24892211558561328,2025-11-24,2025-12-24,True,
1850.0,1,1,flat,51.559351937021276,-0.054604771063829785,2025-11-24,2025-12-24,True,
11050.0,4,3,house,51.49319411793612,-0.14769490171990174,2025-11-24,2025-12-24,,
1600.0,1,1,flat,51.4686805373599,-0.3633411942714819,2025-11-24,2025-12-24,True,
1750.0,1,1,flat,51.50493956899489,-0.4214537614991482,2025-11-24,2025-12-24,False,
3499.0,2,2,flat,51.476676133597884,-0.13268082076719578,2025-11-24,2025-12-24,True,87.143014
3500.0,4,2,house,51.50841296237414,-0.2701865781664017,2025-11-24,2025-12-24,False,
2250.0,2,1,flat,51.55944741702293,-0.21831884492809947,2025-11-24,2025-12-24,True,58.993405
2000.0,1,1,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,,
2400.0,3,2,house,51.52314565846154,-0.40865685333333335,2025-11-24,2025-12-24,,
2817.0,2,1,flat,51.48885917126725,-0.13352914680050187,2025-11-24,2025-12-24,True,48.681172
2500.0,3,1,flat,51.436488875,-0.441384,2025-11-24,2025-12-24,False,
4000.0,4,2,flat,51.55406446794082,-0.11808778853267572,2025-11-24,2025-12-24,True,
2700.0,2,1,flat,51.55944741702293,-0.21831884492809947,2025-11-24,2025-12-24,False,
2300.0,3,2,flat,51.61161560744147,-0.2752701793478261,2025-11-24,2025-12-24,False,
